complex_word	simple_word	POS	complex_lemma	simple_lemma	complex_index	simple_index	complex_sentence	simple_sentence
place	force	NN	place	force	14	11	twenty thousand additional border patrol agents would be added to the 18,400 already in place .	twenty thousand additional border patrol agents would be added to the force of 18,400 .
essentially	basically	RB	essentially	basically	4	4	opponents said the plan essentially pardoned people who broke the law and they questioned whether the security provisions were realistic .	opponents said the plan basically pardons people who broke the law .
vote	voting	NN	vote	voting	16	6	they saw their presidential nominee , mitt romney , win only about one-fourth of the hispanic vote last year and are concerned that constituency is slipping away .	they are worried that an important voting block is slipping away .
nominee	candidate	NN	nominee	candidate	4	5	they saw their presidential nominee , mitt romney , win only about one-fourth of the hispanic vote last year and are concerned that constituency is slipping away .	last year , their presidential candidate , mitt romney , won only about one-fourth of the hispanic vote .
development	growth	NN	development	growth	26	16	dakar , senegal - president barack obama arrived in this corner of west africa to deliver messages about civil society and good governance , democracy and development .	dakar , senegal - president barack obama came to west africa to talk about democracy and growth .
house	place	NN	house	place	2	9	the slave house , built in 1776 by the dutch , may have primarily served as a merchant 's home , they say .	some historians say the dusty island was mainly a place for ships to stop .
primarily	mainly	RB	primarily	mainly	13	7	the slave house , built in 1776 by the dutch , may have primarily served as a merchant 's home , they say .	some historians say the dusty island was mainly a place for ships to stop .
laborer	worker	NN	laborer	worker	15	7	andkhoy , afghanistan when esmatullah got engaged in 1999 , he was a 26-year-old day laborer .	andkhoy , afghanistan esmatullah is a day worker who got engaged in 1999 at age 26 .
long-standing	old	JJ	long-standing	old	4	5	afghan weddings brim with long-standing traditions , and one of them is the custom known as walwar .	afghan weddings come with many old traditions , and one of them is the custom known as walwar .
long-standing	ancient	JJ	long-standing	ancient	4	4	afghan weddings brim with long-standing traditions , and one of them is the custom known as walwar .	afghan weddings have many ancient traditions .
old	ancient	JJ	old	ancient	5	4	afghan weddings come with many old traditions , and one of them is the custom known as walwar .	afghan weddings have many ancient traditions .
harshly	strongly	RB	harshly	strongly	3	4	the tradition is harshly criticized by women 's rights supporters .	women 's rights supporters strongly criticize the tradition .
major	big	JJ	major	big	3	7	pride is a major motive behind afghans ' extravagant wedding budgets , says samir rostiyar , a wedding hall owner in kabul .	pride drives much of the spending on big afghan weddings , says samir rostiyar , a wedding hall owner in kabul .
motive	reason	NN	motive	reason	4	4	pride is a major motive behind afghans ' extravagant wedding budgets , says samir rostiyar , a wedding hall owner in kabul .	pride is a major reason for the expense attached to afghan weddings , says samir rostiyar .
spending	expense	NN	spending	expense	5	7	pride drives much of the spending on big afghan weddings , says samir rostiyar , a wedding hall owner in kabul .	pride is a major reason for the expense attached to afghan weddings , says samir rostiyar .
big	major	JJ	big	major	7	3	pride drives much of the spending on big afghan weddings , says samir rostiyar , a wedding hall owner in kabul .	pride is a major reason for the expense attached to afghan weddings , says samir rostiyar .
major	main	JJ	major	main	3	3	pride is a major motive behind afghans ' extravagant wedding budgets , says samir rostiyar , a wedding hall owner in kabul .	pride is a main reason why afghans spend so much on large weddings , says samir rostiyar .
big	large	JJ	big	large	7	11	pride drives much of the spending on big afghan weddings , says samir rostiyar , a wedding hall owner in kabul .	pride is a main reason why afghans spend so much on large weddings , says samir rostiyar .
prospective	future	JJ	prospective	future	10	10	so far , he 's been able to pay his prospective father-in-law only about $ 1,000 .	so far , he 's been able to pay his future father-in-law only about $ 1,000 .
blaze	fire	NN	blaze	fire	2	6	the out-of-control blaze had surrounded the community of yarnell , burning down much of the town , officials said .	they were fighting the yarnell hill fire .
inhalation	breathing	NN	inhalation	breathing	8	10	but homeowners flooded in , suffering from smoke inhalation as well as shock at losing their homes , she said .	but homeowners flooded in , suffering from the effects of breathing too much smoke .
also	well	RB	also	well	1	10	some also were in shock from losing their homes , she said .	they were suffering from breathing too much smoke , as well as shock at losing their homes , she said .
act	bill	NN	act	bill	12	6	casey and pitts are co-sponsoring the children 's hospital gme support reauthorization act of 2013 , which aims to restore funding for the program , grollman said .	pitts and casey are co-sponsoring a bill that aims to restore program funding to children 's hospitals around the country .
agency	office	NN	agency	office	3	12	the state news agency said about 500 young men hurling stones and molotov cocktails set ablaze the headquarters of morsi 's muslim brotherhood party in cairo .	about 500 young men set on fire the muslim brotherhood 's main office in cairo .
military	army	NN	military	army	11	2	the president and the brotherhood have refused to budge and the military has deployed troops around government buildings and along the shipping lanes of the suez canal .	and the army sent out troops to guard government buildings .
protect	guard	VB	protect	guard	7	7	the military has sent out troops to protect government buildings and the suez canal , an important waterway for shipping .	and the army sent out troops to guard government buildings .
mostly	largely	RB	mostly	largely	4	4	the demonstrations sunday were mostly peaceful , and at times marked by acts of kindness .	the rallies sunday were largely peaceful .
collide	clash	VB	collide	clash	8	8	but security officials fear the two sides may collide .	but there are fears the two sides might clash .
address	speech	NN	address	speech	2	3	in an address to the nation last week , morsi admitted mistakes during his first year in office .	in a nationwide speech last week , morsi admitted mistakes during his first year in office .
restive	tense	JJ	restive	tense	6	6	his comments failed to calm a restive poor and working class who have endured months of inflation , power shortages and gas lines .	his comments failed to calm a tense poor and working class who have endured months of rising prices , power shortages and gas station lines .
work	job	NN	work	job	6	7	his single mother was out of work , and there were two siblings to think about , then ages 2 and 3 .	his single mother did n't have a job , and there were two younger children to think about then ages 2 and 3 .
find	get	VBP	find	get	19	19	now , gray since dubbed '' the million dollar scholar '' has found a way to help other teens find scholarship money .	now , gray since nicknamed '' the million dollar scholar '' has found a way to help other teens get scholarship money .
just	only	RB	just	only	10	10	gray and his friends decided to keep the price at just 99 cents .	gray and his friends decided to keep the price low only 99 cents .
tuition	school	NN	tuition	school	12	22	gray 's biggest coup was the gates millennium scholarship , which covers tuition and room and board from a bachelor 's to a doctorate .	gray 's biggest prize was the gates millennium scholarship , which will pay for all four years of college , plus graduate school .
dining	food	NN	dining	food	5	19	los angeles an ancient asian dining tradition comes to an end in california on monday , and grocer emily gian is none too happy .	los angeles on monday , no one in california will be able to eat an ancient type of asian food anymore .
species	kinds	NNS	species	kind	5	4	the populations of some shark species , such as hammerheads , have been reduced by as much as 90 percent in recent years .	ninety percent of some kinds of sharks have been killed in recent years , like the hammerhead .
unfair	fair	JJ	unfair	fair	3	8	it can seem unfair to ban shark fins in california while chefs and grocers in other states continue sales unfettered .	but gian and others said it 's not fair to ban shark fins in california while chefs and grocers in other states can continue to sell them .
unscathed	unharmed	JJ	unscathed	unharmed	3	3	lady liberty survived unscathed , but her home was trashed .	lady liberty survived unharmed , but her home was trashed .
adjacent	nearby	JJ	adjacent	nearby	16	16	the national park service expected to spend about $ 56 million to fix liberty island and adjacent ellis island , home to an immigration museum that remains closed .	the national park service expected to spend about $ 56 million to fix liberty island and nearby ellis island , home to an immigration museum that remains closed .
interior	inside	NN	interior	inside	14	12	29 , 2011 the statue was closed for one year for upgrades to its interior .	29 , 2011 the statue was closed for one year as the inside was renovated .
consume	eat	VBP	consume	eat	6	6	louis one-third of the food we consume depends on pollination by honeybees .	louis one-third of the food we eat depends on pollination by honeybees .
toxic	harmful	JJ	toxic	harmful	25	4	the thing to blame is a particular class of insecticides , called neonicotinoids , that are widely used because they are thought to be less toxic to mammals .	they are considered less harmful to humans and animals , so they are widely used .
researcher	scientist	NN	researcher	scientist	6	0	a recent study by purdue university researcher christian krupke found high levels of neonicotinoids in dead bees in and around corn fields .	scientist christian krupke found high levels of neonicotinoid in the dead bees .
goatee	beard	NN	goatee	beard	6	7	a smile emerges from his gray goatee .	a smile emerges from his small gray beard .
battle	battlefield	NN	battle	battlefield	14	6	it 's where stocker was monday to mark the 150th anniversary of the three-day battle .	stocker and his father walked that battlefield during their summers together .
troops	soldiers	NNS	troops	soldier	18	17	positioned too far from the rest of the 11th corps , the regiment got hit hard by confederate troops who charged out of a thicket of trees .	but it was too far from other union troops and the regiment got hit hard by confederate soldiers who charged out of a thicket of trees .
flight	airplane	NN	flight	airplane	5	3	on saturday , asiana airlines flight 214 from seoul , south korea , crashed after touching down on the runway .	los angeles an airplane crashed at san francisco international airport saturday .
important	large	JJ	important	large	18	6	more than 1,100 of the planes have been delivered , and nearly all of the world 's most important airlines fly 777s on long-range routes .	nearly all of the world 's large airlines fly 777s on long-haul routes .
long-range	long	JJ	long-range	long	23	11	more than 1,100 of the planes have been delivered , and nearly all of the world 's most important airlines fly 777s on long-range routes .	nearly all of the world 's large airlines fly 777s for long routes .
long-haul	long	JJ	long-haul	long	11	11	nearly all of the world 's large airlines fly 777s on long-haul routes .	nearly all of the world 's large airlines fly 777s for long routes .
estate	real-estate	NN	estate	real-estate	2	1	high real estate prices make us homeless , '' said one comment on sina weibo , the chinese version of twitter .	high real-estate prices make us homeless , '' said one comment on a chinese blogging site .
buy	afford	VB	buy	afford	7	7	yet skyrocketing prices make it hard to buy apartments in metropolises such as beijing and shanghai , so many young people are postponing getting married .	yet skyrocketing prices make it hard to afford an apartment .
shoulder	take	VB	shoulder	take	12	10	as only children , the post - ' 80s generation also must shoulder the burden of caring for aging parents and grandparents .	as only children , the post - ' 80s must take care of their aging parents and grandparents on their own .
endemic	widespread	JJ	endemic	widespread	0	0	endemic corruption and nepotism have meant that those in their generation whose families have powerful connections and wealth are privy to the best opportunities .	widespread nepotism has meant that those in their generation whose families have powerful connections and wealth are get offered the best opportunities .
leader	president	NN	leader	president	14	7	supporters of morsi have camped there for days demanding the release of the former leader , who has been under arrest since a military coup last week .	they are demanding the release of the president , who has been under arrest .
assist	help	VB	assist	help	17	10	they called upon their supporters to donate blood and rush to the nasr district of cairo to assist the victims .	they asked supporters to donate blood and to rush to help the victims .
interim	temporary	JJ	interim	temporary	6	6	hours earlier , egypt 's new interim leadership had narrowed in on a compromise candidate to serve as the next prime minister .	hours earlier , egypt 's new temporary leadership had narrowed in on a compromise candidate to serve as the next prime minister .
choice	pick	NN	choice	pick	7	6	el-din is seen as a less divisive choice than secular opposition leader mohamed elbaradei , whose nomination was abruptly blocked a day earlier .	el-din is seen as a compromise pick in place of mohamed elbaradei , whose nomination was suddenly blocked a day earlier .
abruptly	suddenly	RB	abruptly	suddenly	18	16	el-din is seen as a less divisive choice than secular opposition leader mohamed elbaradei , whose nomination was abruptly blocked a day earlier .	el-din is seen as a compromise pick in place of mohamed elbaradei , whose nomination was suddenly blocked a day earlier .
war	conflict	NN	war	conflict	15	4	instead , the fumbling raised fresh doubts about peace and fears of a possible civil war .	instead , fumbling and conflict raised fresh doubts about egypt 's future .
receive	get	VB	receive	get	18	18	people in the program who agree to work in schools that primarily serve low-income , high-needs students can receive a $ 10,000 bonus .	people in the program who agree to work in schools that primarily serve low-income , high-needs students can get a $ 10,000 bonus .
officer	staff	NN	officer	staff	5	5	he also was a protocol officer in bosnia for a commanding general .	he also was on the staff for a commanding general in bosnia .
great	big	JJ	great	big	9	8	in the other direction , a backhoe was scooping great piles of it into dump trucks .	in the other direction , a backhoe scooped big piles of it into dump trucks .
flora	plant	NN	flora	plant	19	10	onshore winds help bring the strands ashore overnight , with some beaches buried under 16 inches of the flosslike flora , known to scientists as ulva prolifera .	some beaches are buried under 16 inches of the flossy plant , known to scientists as ulva prolifera .
appear	show	VB	appear	show	4	4	the seaweed began to appear a month ago .	the seaweed started to show up a month ago .
competition	race	NN	competition	race	15	13	in 2008 , the algae threatened to disrupt qingdao 's hosting of the olympic sailing competition , so the government dispatched 1,000 soldiers to help purge the waters .	in 2008 , the algae threatened qingdao 's hosting of the olympic sailing race , so the government sent 1,000 soldiers to help clear the waters .
municipal	local	JJ	municipal	local	3	3	these days , municipal authorities are carting off the seaweed to five processing depots .	these days , local authorities are carting off the seaweed to five processing plants .
aircraft	plane	NN	aircraft	plane	5	5	the flight of the unmanned aircraft , dubbed x-47b '' salty dog 502 , '' could redefine naval aviation .	the flight of the unmanned plane , called x-47b '' salty dog 502 , '' could redefine aviation for the navy .
ocean	sea	NN	ocean	sea	9	6	landing on an aircraft carrier as it plies the ocean and pitches with the waves is considered an extremely difficult feat for even the most seasoned pilot .	landing on an aircraft carrier at sea as it pitches with the waves is considered an extremely difficult feat for even the most seasoned pilot .
seasoned	experienced	JJ	seasoned	experienced	25	20	landing on an aircraft carrier as it plies the ocean and pitches with the waves is considered an extremely difficult feat for even the most seasoned pilot .	landing on an aircraft carrier on the ocean as it rides the waves is considered an extremely difficult feat for experienced pilots .
sea	ocean	NN	sea	ocean	6	7	landing on an aircraft carrier at sea as it pitches with the waves is considered an extremely difficult feat for even the most seasoned pilot .	landing on an aircraft carrier on the ocean as it rides the waves is considered an extremely difficult feat for experienced pilots .
determine	find	VB	determine	find	10	8	the aircraft digitally communicated with the carrier 's computers to determine speed , crosswinds and other information as it approached from miles away .	it talked with the carrier 's computers to find out speed , wind direction and everything else it needed to know .
station	base	NN	station	base	19	11	it continued testing there until last year , when it was trucked from the mojave desert to naval air station patuxent river in maryland .	the original x-47b had its first flight from edwards air force base in 2011 .
demonstrate	show	VB	demonstrate	show	8	6	it also conducted deck-handling and ship-integration testing to demonstrate the capability to safely operate the x-47b on an aircraft carrier flight deck .	it also conducted other tests to show that the x-47b could be used safely on an aircraft carrier flight deck .
facility	plant	NN	facility	plant	14	13	both were constructed behind barbed-wire fences and double security doors at northrop 's expansive facility in palmdale , calif .	both were constructed behind barbed-wire fences and double security doors at northrop 's plant in palmdale , calif .
swap	exchange	VB	swap	exchange	6	5	fans with used hernandez jerseys can swap them at the team store this weekend for those of any other player on the roster .	the team also let fans exchange their used hernandez jerseys for those of any other patriot .
background	information	NN	background	information	24	12	sundquist , the team 's general manager from 2002 to 2008 , said there 's a misconception that the nfl provides teams with thorough background checks on prospects .	sundquist said people think that the nfl gives teams a lots of information on college players .
dinner	meal	NN	dinner	meal	10	6	first lady michelle obama 's second annual kids ' state dinner on tuesday honored the young winners of a healthy-eating recipe contest that drew more than 1,300 entries .	first lady michelle obama hosted the meal .
healthy-eating	healthy	JJ	healthy-eating	healthy	19	10	first lady michelle obama 's second annual kids ' state dinner on tuesday honored the young winners of a healthy-eating recipe contest that drew more than 1,300 entries .	this second annual event honored the young winners of the healthy lunchtime challenge , a recipe contest .
attire	clothing	NN	attire	clothing	2	2	as for attire , girls favored summery floral dresses and boys mostly went for preppy styles such as slacks and shirts , sometimes with blazers and bow ties .	as for clothing , girls favored summery floral dresses and boys mostly went for preppy styles such as slacks and shirts .
big	great	JJ	big	great	13	3	the fourth quarter of the 2012 , which included sandy and some other big winter storms , was a blockbuster , said curt hecht , a company executive .	it was a great for the company , said executive curt hecht .
encounter	find	VB	encounter	find	23	23	it pitched itself as a necessity for viewers trying to plan their days who needed to know what kind of weather they might encounter .	it pitched itself as a necessity for viewers trying to plan their days who wanted to know what kind of weather they might find .
highlight	show	VB	highlight	show	12	11	it may be tough to both inform people about the weather and highlight the dangerous nature of storms without exaggerating their danger to the average viewer .	it may be tough to tell people about the weather and show how dangerous it is without exaggerating .
verdict	decision	NN	verdict	decision	14	8	zimmerman stood at the defendant 's table , flanked by his lawyers as the verdict was read .	zimmerman showed no emotion when the jury 's decision was read to the packed courtroom .
prominent	important	JJ	prominent	important	13	3	in the protests before and after zimmerman 's indictment , hoodies played a prominent role .	hoodies played an important role in the protests before and after zimmerman was charged .
stay	keep	VB	stay	keep	25	14	where the prosecution described zimmerman as an out-of-control vigilante , the defense portrayed him as a good citizen making a personal sacrifice to help neighbors stay safe .	the defense portrayed zimmermann as a good citizen making a personal sacrifice to help keep his neighbors safe .
zimmerman	zimmermann	NN	zimmerman	zimmermann	4	3	where the prosecution described zimmerman as an out-of-control vigilante , the defense portrayed him as a good citizen making a personal sacrifice to help neighbors stay safe .	the defense portrayed zimmermann as a good citizen making a personal sacrifice to help keep his neighbors safe .
opaque	secretive	JJ	opaque	secretive	4	4	the selection process is opaque and closed to the public .	the selection process is secretive .
toner	ink	NN	toner	ink	11	13	unlike that laser printer in your office , there is no toner , no paper and no '' pc load letter '' errors .	but unlike your laser printer at home or school , there is no ink and no paper .
critical	important	JJ	critical	important	12	16	computing technology and material science of 3-d printing reaching the point where critical parts can be made with the press of a button .	computers are fast enough and materials are good enough so 3-d printing reached the point where important parts can be made with the press of a button .
proof	evidence	NN	proof	evidence	16	10	now scientists working in south dakota 's hell creek formation have unearthed what they say is proof that the dinosaur king hunted its prey .	now scientists have found what they say is the first evidence that the dinosaur king hunted its prey .
serrated	jagged	JJ	serrated	jagged	12	4	skeletal fossils indicate the creatures were well-suited to hunting , with long serrated teeth , strong hind limbs and a massive skull .	they had long , jagged teeth , strong hind limbs and a massive skull .
hind	rear	JJ	hind	rear	16	8	skeletal fossils indicate the creatures were well-suited to hunting , with long serrated teeth , strong hind limbs and a massive skull .	they had long , jagged teeth , strong rear limbs and a massive skull .
massive	big	JJ	massive	big	20	13	skeletal fossils indicate the creatures were well-suited to hunting , with long serrated teeth , strong hind limbs and a massive skull .	they had long , spiky teeth , strong rear limbs and a really big skull .
excavation	digging	NN	excavation	digging	1	1	further excavation revealed a cauliflower-like outgrowth fusing the soup bowl-sized vertebrae together a sign of bone healing .	further digging revealed that the two soup bowl-sized vertebrae were fused together , which is a sign of bone healing .
indicate	show	VB	indicate	show	14	3	the location of the large tooth on the underside of the hadrosaur vertebrae could indicate that the victim was lying down when it was attacked .	the find could show that the victim was lying down when it was attacked .
observe	watch	VB	observe	watch	3	3	paleontologists ca n't observe dinosaurs in the wild .	paleontologists ca n't watch them in the wild .
greatly	far	RB	greatly	far	2	2	it has greatly declined in pennsylvania , and is nearly gone from ohio and indiana .	there are far fewer of them in pennsylvania these days , and they are nearly gone from ohio and indiana .
fewer	less	JJR	fewer	less	3	4	there are far fewer of them in pennsylvania these days , and they are nearly gone from ohio and indiana .	there are a lot less of them in pennsylvania .
development	building	NN	development	building	3	3	roads and other development have cut off the pathways between woodrat habitats .	roads and other building projects have cut off the pathways between different areas where woodrats live .
bloodstream	blood	NN	bloodstream	blood	9	9	woodrats swallow the eggs , which get into their bloodstream and the organs .	woodrats swallow the eggs , which get into their blood and organs .
two-pronged	two-part	JJ	two-pronged	two-part	15	15	to help stave off the demise of bergen 's woodrats , valent has launched a two-pronged strategy .	to help stop the dying off of bergen 's woodrats , valent has launched a two-part strategy .
hit	blow	NN	hit	blow	2	2	the initial hit came in the early 1900s when a fungus laid waste to the american chestnut , which had been the woodrat 's main food source .	the first blow came in the early 1900s , when the american chestnut was almost killed off by a fungus .
off	out	RP	off	out	16	16	the first blow came in the early 1900s , when the american chestnut was almost killed off by a fungus .	the first blow came in the early 1900s , when the american chestnut was almost wiped out by a fungus .
prevalent	common	JJ	prevalent	common	6	20	other predators have also grown more prevalent , including black rat snakes and bobcats .	animals that eat woodrats , like the great horned owl , black rat snakes and bobcats , have grown more common , according to biologist jerry hassinger .
continue	keep	VB	continue	keep	11	11	whatever they should be called , the dep 's valent will continue his efforts to protect the last remaining woodrat colony in new jersey .	whatever they should be called , the dep 's valent will keep trying to protect the last remaining woodrat colony in new jersey .
keep	continue	VB	keep	continue	11	11	whatever they should be called , the dep 's valent will keep trying to protect the last remaining woodrat colony in new jersey .	whatever they should be called , the dep 's valent will continue his efforts to protect the last remaining woodrat colony in new jersey .
remain	keep	VB	remain	keep	11	14	if he succeeds , bergen 's '' boulder bunnies '' will remain a fixture amid the rubble at the base of the palisades .	if he succeeds , bergen 's '' boulder bunnies '' will be able to keep on living among the rubble at the base of the palisades .
surface	ground	NN	surface	ground	3	2	the issue did surface when zimmerman was arrested .	stand your ground did come up when zimmerman was arrested .
stand-your-ground	ground	NN	stand-your-ground	ground	0	2	stand-your-ground did surface when zimmerman was arrested .	stand your ground did come up when zimmerman was arrested .
also	still	RB	also	still	1	3	holder also said his office is examining all available evidence before deciding whether to pursue charges against neighborhood watchman zimmerman in the shooting death of the black teen .	federal prosecutors could still decide to charge zimmerman in the shooting death of the black teen .
examine	look	VB	examine	look	6	6	jealous said federal investigators need to examine evidence barred by the judge in the second-degree-murder case allegedly showing racism was a factor in the killing .	jealous said federal investigators need to look at evidence that the judge did not let into the case .
heavy-lift	heavy	JJ	heavy-lift	heavy	5	9	the c-124 globemaster was a heavy-lift workhorse nicknamed '' old shaky '' because of the racket from its big piston engines .	the c-124 globemaster , which was used to transport heavy loads , was nicknamed '' old shaky '' because of the racket from its big piston engines .
transport	carry	VB	transport	carry	8	6	the c-124 globemaster , which was used to transport heavy loads , was nicknamed '' old shaky '' because of the racket from its big piston engines .	the c-124 globemaster was used to carry heavy loads or large crews .
recover	collect	VB	recover	collect	9	9	back in the 1950s , officials considered trying to recover the wreckage and remains .	back in the 1950s , officials considered trying to collect the wreckage and human remains .
site	spot	NN	site	spot	16	15	in june 2012 , an army guard helicopter crew on a training mission discovered the wreck site .	in june 2012 , an army guard helicopter crew on a training mission discovered the spot where the plane had gone down .
site	place	NN	site	place	16	11	in june 2012 , an army guard helicopter crew on a training mission discovered the wreck site .	in june 2012 , an army guard helicopter crew spotted the place where the plane had crashed .
spot	place	NN	spot	place	15	11	in june 2012 , an army guard helicopter crew on a training mission discovered the spot where the plane had gone down .	in june 2012 , an army guard helicopter crew spotted the place where the plane had crashed .
tiny	small	JJ	tiny	small	0	0	tiny packs of camel and philip morris cigarettes that used to come in food rations .	small packs of camel and philip morris cigarettes .
huge	big	JJ	huge	big	4	4	pretoria , south africa huge crowds gathered outside a hospital to sing on thursday .	pretoria , south africa big crowds gathered outside the hospital to sing on thursday .
nation	country	NN	nation	country	2	2	around the nation , south africans contributed 67 minutes of community service to honor mandela 's 67 years of public service .	around the country , south africans contributed 67 minutes of community service to honor mandela 's 67 years of public service .
country	county	NN	country	county	2	4	around the country , south africans contributed 67 minutes of community service to honor mandela 's 67 years of public service .	south africans around the county contributed 67 minutes of community service to honor mandela 's 67 years of public work .
intimidate	scare	VB	intimidate	scare	14	14	his crime : as a 16-year-old he had fired a gun at school to intimidate a group of bullies .	his crime : as a 16-year-old he had fired a gun at school to scare a group of bullies .
plight	situation	NN	plight	situation	7	7	choun said there are other returnees whose plight is even worse .	choun said there are other people whose situation is even worse .
tragic	sad	JJ	tragic	sad	1	1	as tragic as the loss of three young lives in the crash is , 304 people lived a 99 percent survival rate .	as sad as the loss of three young lives in the crash is , 304 people lived .
aircraft	airplane	NN	aircraft	airplane	6	6	some escape slides opened inside the aircraft , momentarily trapping two flight attendants .	some escape slides opened inside the airplane .
vital	important	JJ	vital	important	10	10	the public address system was still active , so a vital evacuation order could be announced .	the public address system was still active , so an important order to get out of the plane could be announced .
scrawny	skinny	JJ	scrawny	skinny	20	9	bogota , colombia wedged behind an exhaust-belching bus and ahead of a honking car , luis enrique neira urges his scrawny horse pagatodo through a busy intersection .	bogota , colombia -- luis enrique neira urges his skinny horse pagatodo through a busy street .
positive	good	JJ	positive	good	13	13	despite her precarious economic state , garzon said she thinks the program is positive .	despite her shaky economic state , garzon said she thinks the program is good .
precarious	shaky	JJ	precarious	shaky	2	2	despite her precarious economic state , garzon said she thinks the program is positive .	despite her shaky economic state , garzon said she thinks the program is good .
position	stand	NN	position	stand	14	14	i understand that our country has to do some things '' to strengthen its position around the world , neugent said in an interview wednesday .	i understand that our country has to do some things '' to take a stand , neugent said on wednesday .
telephone	phone	NN	telephone	phone	8	16	sochi was a topic last friday during a telephone conversation between president barack obama and president vladimir putin of russia .	president barack obama and president vladimir putin of russia did talk about sochi during a recent phone conversation .
harm	hurt	VB	harm	hurt	21	16	stand-your-ground allows people to defend themselves with deadly force if necessary if they believe someone is trying to kill or seriously harm them .	the laws allow people to defend themselves with force if they believe someone is trying to hurt them .
perform	play	VB	perform	play	8	8	singer stevie wonder said he would no longer perform in florida or other states with stand-your-ground laws .	singer stevie wonder said he would no longer play in florida or other states with stand-your-ground laws .
chief	president	NN	chief	president	17	10	cureton , an englewood police officer who grew up with marion , said he understood the fire chief 's frustration and the motivation for his actions .	he is an englewood police officer and the local naacp president .
motivation	reason	NN	motivation	reason	22	11	cureton , an englewood police officer who grew up with marion , said he understood the fire chief 's frustration and the motivation for his actions .	he said he understood the fire chief 's anger and the reason for his request .
alter	change	VB	alter	change	5	5	dressel said state lawmakers could alter the law , as they did years ago in banning purchases from south africa when it was under apartheid .	dressel said state lawmakers could change the law .
state	nation	NN	state	nation	2	23	dressel said state lawmakers could alter the law , as they did years ago in banning purchases from south africa when it was under apartheid .	years ago , legislators banned purchases from south africa when it was under apartheid , a system of racial exclusion which targeted that nation 's non-white population .
whites	non-whites	NNS	whites	non-whites	22	22	they did years ago in banning purchases from south africa when it was under apartheid , a system that separated blacks and whites .	they did years ago in boycotting south africa when it was under apartheid , a system of laws that separated whites from non-whites .
put	make	VB	put	make	6	6	it was hired in may to put together an online list of vacant properties .	it was hired in may to make an online list of vacant properties .
relocate	move	VB	relocate	move	8	8	on tuesday , the agency said it would relocate 50 wild horses threatened by drought from an area two hours north of las vegas .	on tuesday , the agency said it would move 50 wild horses threatened by drought from an area two hours north of las vegas .
sustain	keep	VB	sustain	keep	14	14	even with the extra water , the seeps do not provide enough water to sustain them , gorney said .	even with the extra water , the ground does not provide enough water to keep them alive , gorey said .
employ	use	VB	employ	use	6	6	six of the nevada roundups will employ contract helicopters to drive the animals to pens .	six of the nevada roundups will use helicopters to drive the animals to pens .
drive	push	VB	drive	push	10	9	six of the nevada roundups will employ contract helicopters to drive the animals to pens .	six of the nevada roundups will use helicopters to push the animals to pens .
perilous	dangerous	JJ	perilous	dangerous	14	13	he recalled how his 60-year-old grandfather , who lives in mexico , makes a perilous trip each time he visits relatives in the united states .	he said his 60-year-old grandfather , who lives in mexico , makes a dangerous trip each time he visits relatives in the united states .
unclear	clear	JJ	unclear	clear	24	22	as word of the action spread , as many as 30 more young people presented themselves at the border , but their status was unclear .	as word spread , as many as 30 more young people showed up at the border , but their status was not clear .
facility	building	NN	facility	building	5	5	saavedra once occupied an immigration facility in florida and was detained .	saavedra once occupied an immigration building in florida and was jailed .
attempt	try	VB	attempt	try	12	10	if she is ultimately deported , mateo said , she will not attempt another desert crossing .	if she is deported , mateo said she would n't try to cross the border .
symbol	sign	NN	symbol	sign	5	5	nguyen 's bet is a symbol of a sea change underway in vietnam .	nguyen 's bet is a sign of a big change underway in vietnam .
capita	person	NN	capita	person	14	20	disposable income has doubled in vietnam since 2007 , to nearly $ 1,000 per capita , friend said , citing euromonitor data .	the average amount of spending money people have in vietnam has doubled since 2007 , to nearly $ 1,000 per person , friend said .
segregate	separate	VB	segregate	separate	20	6	but with his herd of roughly 4,000 including cattle from mexico , mccan said there 's no good reason to segregate the animals when he sells them .	there 's no good reason to separate the animals when he sells them , he said .
separate	split	VB	separate	split	6	11	there 's no good reason to separate the animals when he sells them , he said .	if the beef has to be labeled , he has to split up the animals when he sells them .
minimal	small	JJ	minimal	small	14	14	backers of the new rules , who say labeling can be done at a minimal cost , are braced for another battle with cattle producers .	backers of the new rules , who say labeling can be done at a small cost , are ready for another battle with cattle producers .
war	fight	NN	war	fight	9	8	the new labeling rules also could ignite a trade war with canada , which is threatening to retaliate .	the new labeling rules also could ignite a fight with canada .
nearly	practically	RB	nearly	practically	16	16	the recently paved streets inside the favela are narrow ; large parts of the slum are nearly in ruins .	the recently paved streets inside the slum are narrow ; large parts of the slum are practically in ruins .
set	put	VBN	set	put	3	3	the government has set aside money for community centers , libraries and a train station .	the government has put aside money for community centers , libraries and a train station .
force	military	NN	force	military	12	7	the cost is a double whammy for taxpayers , because the air force said it costs taxpayers about $ 6 million to train a fighter pilot .	empty cockpits are bad news for the military .
complete	finish	VBP	complete	finish	12	12	air force pilots typically earn about $ 90,000 by the time they complete their 11th year .	air force pilots typically earn about $ 90,000 by the time they finish their 11th year .
civilian	non-military	JJ	civilian	non-military	19	7	dennis prokopowicz , an assistant system chief pilot with jet blue airways , said it will be difficult for civilian pilots to achieve that many hours .	he says it will be difficult for non-military pilots to achieve that many hours .
