word	word_index	number_of_complex_annotators	context
hunting	58	0	NEW YORK -- It has been a big year for bears in the news , especially in Maine , where voters on Nov. 4 face a question that has bedeviled other bear - heavy states : how to keep the species ' population at bay in the face of pressure from animal rights groups lobbying to ban certain hunting methods .
methods	59	0	NEW YORK -- It has been a big year for bears in the news , especially in Maine , where voters on Nov. 4 face a question that has bedeviled other bear - heavy states : how to keep the species ' population at bay in the face of pressure from animal rights groups lobbying to ban certain hunting methods .
campaign	1	6	The campaign around the Maine Bear Hunting Ban Initiative , which will appear on the ballot as Question 1 , has shed light on Maine 's unique status in the wildlife world .
unique	26	4	The campaign around the Maine Bear Hunting Ban Initiative , which will appear on the ballot as Question 1 , has shed light on Maine 's unique status in the wildlife world .
ballot	15	4	The campaign around the Maine Bear Hunting Ban Initiative , which will appear on the ballot as Question 1 , has shed light on Maine 's unique status in the wildlife world .
wildlife	30	1	The campaign around the Maine Bear Hunting Ban Initiative , which will appear on the ballot as Question 1 , has shed light on Maine 's unique status in the wildlife world .
world	31	1	The campaign around the Maine Bear Hunting Ban Initiative , which will appear on the ballot as Question 1 , has shed light on Maine 's unique status in the wildlife world .
shed	21	1	The campaign around the Maine Bear Hunting Ban Initiative , which will appear on the ballot as Question 1 , has shed light on Maine 's unique status in the wildlife world .
status	27	1	The campaign around the Maine Bear Hunting Ban Initiative , which will appear on the ballot as Question 1 , has shed light on Maine 's unique status in the wildlife world .
appear	12	0	The campaign around the Maine Bear Hunting Ban Initiative , which will appear on the ballot as Question 1 , has shed light on Maine 's unique status in the wildlife world .
light	22	0	The campaign around the Maine Bear Hunting Ban Initiative , which will appear on the ballot as Question 1 , has shed light on Maine 's unique status in the wildlife world .
traps	15	1	It remains the only state in the Lower 48 where hunters may use bait , traps and dogs to nab bears .
bait	13	2	It remains the only state in the Lower 48 where hunters may use bait , traps and dogs to nab bears .
nab	19	4	It remains the only state in the Lower 48 where hunters may use bait , traps and dogs to nab bears .
use	12	1	It remains the only state in the Lower 48 where hunters may use bait , traps and dogs to nab bears .
remains	1	0	It remains the only state in the Lower 48 where hunters may use bait , traps and dogs to nab bears .
state	4	0	It remains the only state in the Lower 48 where hunters may use bait , traps and dogs to nab bears .
hunters	10	0	It remains the only state in the Lower 48 where hunters may use bait , traps and dogs to nab bears .
dogs	17	0	It remains the only state in the Lower 48 where hunters may use bait , traps and dogs to nab bears .
bears	20	0	It remains the only state in the Lower 48 where hunters may use bait , traps and dogs to nab bears .
banned	9	7	Voters are being asked whether these methods should be banned except to protect property , public safety , or for research .
property	13	2	Voters are being asked whether these methods should be banned except to protect property , public safety , or for research .
methods	6	1	Voters are being asked whether these methods should be banned except to protect property , public safety , or for research .
protect	12	2	Voters are being asked whether these methods should be banned except to protect property , public safety , or for research .
research	20	2	Voters are being asked whether these methods should be banned except to protect property , public safety , or for research .
Voters	0	0	Voters are being asked whether these methods should be banned except to protect property , public safety , or for research .
asked	3	0	Voters are being asked whether these methods should be banned except to protect property , public safety , or for research .
public	15	0	Voters are being asked whether these methods should be banned except to protect property , public safety , or for research .
safety	16	0	Voters are being asked whether these methods should be banned except to protect property , public safety , or for research .
televised	28	6	`` We think we ' ve got a great case to make , '' the Humane Society 's chief executive , Wayne Pacelle , said in a heated televised debate Oct. 14 .
executive	19	4	`` We think we ' ve got a great case to make , '' the Humane Society 's chief executive , Wayne Pacelle , said in a heated televised debate Oct. 14 .
chief	18	1	`` We think we ' ve got a great case to make , '' the Humane Society 's chief executive , Wayne Pacelle , said in a heated televised debate Oct. 14 .
case	9	1	`` We think we ' ve got a great case to make , '' the Humane Society 's chief executive , Wayne Pacelle , said in a heated televised debate Oct. 14 .
heated	27	2	`` We think we ' ve got a great case to make , '' the Humane Society 's chief executive , Wayne Pacelle , said in a heated televised debate Oct. 14 .
debate	29	1	`` We think we ' ve got a great case to make , '' the Humane Society 's chief executive , Wayne Pacelle , said in a heated televised debate Oct. 14 .
think	2	0	`` We think we ' ve got a great case to make , '' the Humane Society 's chief executive , Wayne Pacelle , said in a heated televised debate Oct. 14 .
got	6	0	`` We think we ' ve got a great case to make , '' the Humane Society 's chief executive , Wayne Pacelle , said in a heated televised debate Oct. 14 .
great	8	0	`` We think we ' ve got a great case to make , '' the Humane Society 's chief executive , Wayne Pacelle , said in a heated televised debate Oct. 14 .
make	11	0	`` We think we ' ve got a great case to make , '' the Humane Society 's chief executive , Wayne Pacelle , said in a heated televised debate Oct. 14 .
said	24	0	`` We think we ' ve got a great case to make , '' the Humane Society 's chief executive , Wayne Pacelle , said in a heated televised debate Oct. 14 .
methods	12	1	`` The fact is , you do n't need to use these methods to hunt the animals .
hunt	14	1	`` The fact is , you do n't need to use these methods to hunt the animals .
fact	2	0	`` The fact is , you do n't need to use these methods to hunt the animals .
need	8	0	`` The fact is , you do n't need to use these methods to hunt the animals .
use	10	0	`` The fact is , you do n't need to use these methods to hunt the animals .
animals	16	0	`` The fact is , you do n't need to use these methods to hunt the animals .
supposed	2	1	Hunting is supposed to give the animals a chance , and this stacks the deck so badly . ''
stacks	12	5	Hunting is supposed to give the animals a chance , and this stacks the deck so badly . ''
deck	14	4	Hunting is supposed to give the animals a chance , and this stacks the deck so badly . ''
animals	6	1	Hunting is supposed to give the animals a chance , and this stacks the deck so badly . ''
give	4	0	Hunting is supposed to give the animals a chance , and this stacks the deck so badly . ''
chance	8	0	Hunting is supposed to give the animals a chance , and this stacks the deck so badly . ''
badly	16	0	Hunting is supposed to give the animals a chance , and this stacks the deck so badly . ''
supports	3	0	The Humane Society supports the coalition backing the initiative , which is led by a group called Mainers for Fair Bear Hunting .
coalition	5	0	The Humane Society supports the coalition backing the initiative , which is led by a group called Mainers for Fair Bear Hunting .
backing	6	0	The Humane Society supports the coalition backing the initiative , which is led by a group called Mainers for Fair Bear Hunting .
initiative	8	0	The Humane Society supports the coalition backing the initiative , which is led by a group called Mainers for Fair Bear Hunting .
led	12	0	The Humane Society supports the coalition backing the initiative , which is led by a group called Mainers for Fair Bear Hunting .
group	15	0	The Humane Society supports the coalition backing the initiative , which is led by a group called Mainers for Fair Bear Hunting .
called	16	0	The Humane Society supports the coalition backing the initiative , which is led by a group called Mainers for Fair Bear Hunting .
Opponents	0	0	Opponents led by a group called Save Maine 's Bear Hunt say the Humane Society 's involvement shows that this is a fight being bankrolled by outside lobby groups with a broader agenda of ending sport hunting nationwide .
led	1	0	Opponents led by a group called Save Maine 's Bear Hunt say the Humane Society 's involvement shows that this is a fight being bankrolled by outside lobby groups with a broader agenda of ending sport hunting nationwide .
group	4	0	Opponents led by a group called Save Maine 's Bear Hunt say the Humane Society 's involvement shows that this is a fight being bankrolled by outside lobby groups with a broader agenda of ending sport hunting nationwide .
called	5	0	Opponents led by a group called Save Maine 's Bear Hunt say the Humane Society 's involvement shows that this is a fight being bankrolled by outside lobby groups with a broader agenda of ending sport hunting nationwide .
say	11	0	Opponents led by a group called Save Maine 's Bear Hunt say the Humane Society 's involvement shows that this is a fight being bankrolled by outside lobby groups with a broader agenda of ending sport hunting nationwide .
involvement	16	0	Opponents led by a group called Save Maine 's Bear Hunt say the Humane Society 's involvement shows that this is a fight being bankrolled by outside lobby groups with a broader agenda of ending sport hunting nationwide .
shows	17	0	Opponents led by a group called Save Maine 's Bear Hunt say the Humane Society 's involvement shows that this is a fight being bankrolled by outside lobby groups with a broader agenda of ending sport hunting nationwide .
fight	22	0	Opponents led by a group called Save Maine 's Bear Hunt say the Humane Society 's involvement shows that this is a fight being bankrolled by outside lobby groups with a broader agenda of ending sport hunting nationwide .
bankrolled	24	0	Opponents led by a group called Save Maine 's Bear Hunt say the Humane Society 's involvement shows that this is a fight being bankrolled by outside lobby groups with a broader agenda of ending sport hunting nationwide .
outside	26	0	Opponents led by a group called Save Maine 's Bear Hunt say the Humane Society 's involvement shows that this is a fight being bankrolled by outside lobby groups with a broader agenda of ending sport hunting nationwide .
lobby	27	0	Opponents led by a group called Save Maine 's Bear Hunt say the Humane Society 's involvement shows that this is a fight being bankrolled by outside lobby groups with a broader agenda of ending sport hunting nationwide .
groups	28	0	Opponents led by a group called Save Maine 's Bear Hunt say the Humane Society 's involvement shows that this is a fight being bankrolled by outside lobby groups with a broader agenda of ending sport hunting nationwide .
broader	31	0	Opponents led by a group called Save Maine 's Bear Hunt say the Humane Society 's involvement shows that this is a fight being bankrolled by outside lobby groups with a broader agenda of ending sport hunting nationwide .
agenda	32	0	Opponents led by a group called Save Maine 's Bear Hunt say the Humane Society 's involvement shows that this is a fight being bankrolled by outside lobby groups with a broader agenda of ending sport hunting nationwide .
ending	34	0	Opponents led by a group called Save Maine 's Bear Hunt say the Humane Society 's involvement shows that this is a fight being bankrolled by outside lobby groups with a broader agenda of ending sport hunting nationwide .
sport	35	0	Opponents led by a group called Save Maine 's Bear Hunt say the Humane Society 's involvement shows that this is a fight being bankrolled by outside lobby groups with a broader agenda of ending sport hunting nationwide .
hunting	36	0	Opponents led by a group called Save Maine 's Bear Hunt say the Humane Society 's involvement shows that this is a fight being bankrolled by outside lobby groups with a broader agenda of ending sport hunting nationwide .
nationwide	37	0	Opponents led by a group called Save Maine 's Bear Hunt say the Humane Society 's involvement shows that this is a fight being bankrolled by outside lobby groups with a broader agenda of ending sport hunting nationwide .
drought	9	2	LOS GATOS , Calif. -- Three punishing years of drought have parched California streams , rivers and wetlands .
parched	11	6	LOS GATOS , Calif. -- Three punishing years of drought have parched California streams , rivers and wetlands .
wetlands	17	1	LOS GATOS , Calif. -- Three punishing years of drought have parched California streams , rivers and wetlands .
streams	13	0	LOS GATOS , Calif. -- Three punishing years of drought have parched California streams , rivers and wetlands .
rivers	15	0	LOS GATOS , Calif. -- Three punishing years of drought have parched California streams , rivers and wetlands .
potential	4	6	One animal has the potential to restore these dry landscapes .
restore	6	2	One animal has the potential to restore these dry landscapes .
landscapes	9	2	One animal has the potential to restore these dry landscapes .
animal	1	0	One animal has the potential to restore these dry landscapes .
dry	8	0	One animal has the potential to restore these dry landscapes .
defense	17	2	With their industrial - strength buck teeth and flat tails , beavers and their dams offer a defense against drought .
drought	19	3	With their industrial - strength buck teeth and flat tails , beavers and their dams offer a defense against drought .
buck	5	1	With their industrial - strength buck teeth and flat tails , beavers and their dams offer a defense against drought .
teeth	6	0	With their industrial - strength buck teeth and flat tails , beavers and their dams offer a defense against drought .
flat	8	0	With their industrial - strength buck teeth and flat tails , beavers and their dams offer a defense against drought .
tails	9	0	With their industrial - strength buck teeth and flat tails , beavers and their dams offer a defense against drought .
beavers	11	0	With their industrial - strength buck teeth and flat tails , beavers and their dams offer a defense against drought .
dams	14	0	With their industrial - strength buck teeth and flat tails , beavers and their dams offer a defense against drought .
offer	15	0	With their industrial - strength buck teeth and flat tails , beavers and their dams offer a defense against drought .
ecosystem	5	7	The rodents are known as ecosystem engineers .
engineers	6	4	The rodents are known as ecosystem engineers .
rodents	1	3	The rodents are known as ecosystem engineers .
known	3	0	The rodents are known as ecosystem engineers .
populated	3	3	And they once populated most of California until fur traders nearly wiped them out in the 19th century .
fur	8	0	And they once populated most of California until fur traders nearly wiped them out in the 19th century .
traders	9	0	And they once populated most of California until fur traders nearly wiped them out in the 19th century .
nearly	10	0	And they once populated most of California until fur traders nearly wiped them out in the 19th century .
wiped	11	0	And they once populated most of California until fur traders nearly wiped them out in the 19th century .
rebuild	17	1	`` This state has lost more of its wetlands than all other states , and beavers can rebuild those wetlands , '' said Rick Lanman of the Institute for Historical Ecology in Los Altos .
wetlands	8	4	`` This state has lost more of its wetlands than all other states , and beavers can rebuild those wetlands , '' said Rick Lanman of the Institute for Historical Ecology in Los Altos .
state	2	0	`` This state has lost more of its wetlands than all other states , and beavers can rebuild those wetlands , '' said Rick Lanman of the Institute for Historical Ecology in Los Altos .
lost	4	0	`` This state has lost more of its wetlands than all other states , and beavers can rebuild those wetlands , '' said Rick Lanman of the Institute for Historical Ecology in Los Altos .
states	12	0	`` This state has lost more of its wetlands than all other states , and beavers can rebuild those wetlands , '' said Rick Lanman of the Institute for Historical Ecology in Los Altos .
beavers	15	0	`` This state has lost more of its wetlands than all other states , and beavers can rebuild those wetlands , '' said Rick Lanman of the Institute for Historical Ecology in Los Altos .
wetlands	19	0	`` This state has lost more of its wetlands than all other states , and beavers can rebuild those wetlands , '' said Rick Lanman of the Institute for Historical Ecology in Los Altos .
said	22	0	`` This state has lost more of its wetlands than all other states , and beavers can rebuild those wetlands , '' said Rick Lanman of the Institute for Historical Ecology in Los Altos .
restoration	9	5	`` Knowing that it is native should help guide restoration efforts . ''
Knowing	1	0	`` Knowing that it is native should help guide restoration efforts . ''
native	5	0	`` Knowing that it is native should help guide restoration efforts . ''
help	7	0	`` Knowing that it is native should help guide restoration efforts . ''
guide	8	0	`` Knowing that it is native should help guide restoration efforts . ''
efforts	10	0	`` Knowing that it is native should help guide restoration efforts . ''
benefit	2	1	Beaver dams benefit the environment in ways that humans ca n't easily copy .
environment	4	2	Beaver dams benefit the environment in ways that humans ca n't easily copy .
Beaver	0	0	Beaver dams benefit the environment in ways that humans ca n't easily copy .
dams	1	0	Beaver dams benefit the environment in ways that humans ca n't easily copy .
ways	6	0	Beaver dams benefit the environment in ways that humans ca n't easily copy .
humans	8	0	Beaver dams benefit the environment in ways that humans ca n't easily copy .
easily	11	0	Beaver dams benefit the environment in ways that humans ca n't easily copy .
copy	12	0	Beaver dams benefit the environment in ways that humans ca n't easily copy .
sponge	5	1	They turn land into a sponge for water .
turn	1	0	They turn land into a sponge for water .
land	2	0	They turn land into a sponge for water .
water	7	0	They turn land into a sponge for water .
gnawing	1	7	Their gnawing and nesting promotes richer soil and slows down water , improving imperiled fish habitat .
promotes	4	3	Their gnawing and nesting promotes richer soil and slows down water , improving imperiled fish habitat .
imperiled	13	8	Their gnawing and nesting promotes richer soil and slows down water , improving imperiled fish habitat .
habitat	15	1	Their gnawing and nesting promotes richer soil and slows down water , improving imperiled fish habitat .
nesting	3	2	Their gnawing and nesting promotes richer soil and slows down water , improving imperiled fish habitat .
improving	12	1	Their gnawing and nesting promotes richer soil and slows down water , improving imperiled fish habitat .
richer	5	0	Their gnawing and nesting promotes richer soil and slows down water , improving imperiled fish habitat .
soil	6	0	Their gnawing and nesting promotes richer soil and slows down water , improving imperiled fish habitat .
slows	8	0	Their gnawing and nesting promotes richer soil and slows down water , improving imperiled fish habitat .
water	10	0	Their gnawing and nesting promotes richer soil and slows down water , improving imperiled fish habitat .
fish	14	0	Their gnawing and nesting promotes richer soil and slows down water , improving imperiled fish habitat .
eroding	12	6	Their dams raise water tables , nourishing shrubbery alongside streams that stabilize eroding banks , and add habitat for birds and deer .
habitat	17	4	Their dams raise water tables , nourishing shrubbery alongside streams that stabilize eroding banks , and add habitat for birds and deer .
nourishing	6	4	Their dams raise water tables , nourishing shrubbery alongside streams that stabilize eroding banks , and add habitat for birds and deer .
stabilize	11	5	Their dams raise water tables , nourishing shrubbery alongside streams that stabilize eroding banks , and add habitat for birds and deer .
shrubbery	7	5	Their dams raise water tables , nourishing shrubbery alongside streams that stabilize eroding banks , and add habitat for birds and deer .
banks	13	1	Their dams raise water tables , nourishing shrubbery alongside streams that stabilize eroding banks , and add habitat for birds and deer .
dams	1	0	Their dams raise water tables , nourishing shrubbery alongside streams that stabilize eroding banks , and add habitat for birds and deer .
raise	2	0	Their dams raise water tables , nourishing shrubbery alongside streams that stabilize eroding banks , and add habitat for birds and deer .
water	3	0	Their dams raise water tables , nourishing shrubbery alongside streams that stabilize eroding banks , and add habitat for birds and deer .
tables	4	0	Their dams raise water tables , nourishing shrubbery alongside streams that stabilize eroding banks , and add habitat for birds and deer .
streams	9	0	Their dams raise water tables , nourishing shrubbery alongside streams that stabilize eroding banks , and add habitat for birds and deer .
add	16	0	Their dams raise water tables , nourishing shrubbery alongside streams that stabilize eroding banks , and add habitat for birds and deer .
birds	19	0	Their dams raise water tables , nourishing shrubbery alongside streams that stabilize eroding banks , and add habitat for birds and deer .
deer	21	0	Their dams raise water tables , nourishing shrubbery alongside streams that stabilize eroding banks , and add habitat for birds and deer .
endangered	4	4	They also help the endangered California red - legged frog .
also	1	0	They also help the endangered California red - legged frog .
help	2	0	They also help the endangered California red - legged frog .
frog	9	0	They also help the endangered California red - legged frog .
recharging	6	6	Because beavers are so good at recharging ground water , they can make streams flow when they would otherwise run dry such as during the summer months .
otherwise	18	3	Because beavers are so good at recharging ground water , they can make streams flow when they would otherwise run dry such as during the summer months .
beavers	1	1	Because beavers are so good at recharging ground water , they can make streams flow when they would otherwise run dry such as during the summer months .
good	4	0	Because beavers are so good at recharging ground water , they can make streams flow when they would otherwise run dry such as during the summer months .
ground	7	0	Because beavers are so good at recharging ground water , they can make streams flow when they would otherwise run dry such as during the summer months .
water	8	0	Because beavers are so good at recharging ground water , they can make streams flow when they would otherwise run dry such as during the summer months .
make	12	0	Because beavers are so good at recharging ground water , they can make streams flow when they would otherwise run dry such as during the summer months .
streams	13	0	Because beavers are so good at recharging ground water , they can make streams flow when they would otherwise run dry such as during the summer months .
flow	14	0	Because beavers are so good at recharging ground water , they can make streams flow when they would otherwise run dry such as during the summer months .
run	19	0	Because beavers are so good at recharging ground water , they can make streams flow when they would otherwise run dry such as during the summer months .
dry	20	0	Because beavers are so good at recharging ground water , they can make streams flow when they would otherwise run dry such as during the summer months .
beavers	1	0	After beavers move to a new area , at night , they drag a tree across a shallow stream to start a dam .
move	2	0	After beavers move to a new area , at night , they drag a tree across a shallow stream to start a dam .
new	5	0	After beavers move to a new area , at night , they drag a tree across a shallow stream to start a dam .
area	6	0	After beavers move to a new area , at night , they drag a tree across a shallow stream to start a dam .
drag	12	0	After beavers move to a new area , at night , they drag a tree across a shallow stream to start a dam .
tree	14	0	After beavers move to a new area , at night , they drag a tree across a shallow stream to start a dam .
shallow	17	0	After beavers move to a new area , at night , they drag a tree across a shallow stream to start a dam .
stream	18	0	After beavers move to a new area , at night , they drag a tree across a shallow stream to start a dam .
start	20	0	After beavers move to a new area , at night , they drag a tree across a shallow stream to start a dam .
dam	22	0	After beavers move to a new area , at night , they drag a tree across a shallow stream to start a dam .
rebuff	5	6	BEIJING -- In a sharp rebuff , China accused Washington on Wednesday of taking Japan 's side in a tense clash over disputed islands in the East China Sea , underscoring rising regional friction as visiting Vice President Joe Biden met with Beijing 's leaders .
clash	20	6	BEIJING -- In a sharp rebuff , China accused Washington on Wednesday of taking Japan 's side in a tense clash over disputed islands in the East China Sea , underscoring rising regional friction as visiting Vice President Joe Biden met with Beijing 's leaders .
disputed	22	8	BEIJING -- In a sharp rebuff , China accused Washington on Wednesday of taking Japan 's side in a tense clash over disputed islands in the East China Sea , underscoring rising regional friction as visiting Vice President Joe Biden met with Beijing 's leaders .
underscoring	30	7	BEIJING -- In a sharp rebuff , China accused Washington on Wednesday of taking Japan 's side in a tense clash over disputed islands in the East China Sea , underscoring rising regional friction as visiting Vice President Joe Biden met with Beijing 's leaders .
friction	33	7	BEIJING -- In a sharp rebuff , China accused Washington on Wednesday of taking Japan 's side in a tense clash over disputed islands in the East China Sea , underscoring rising regional friction as visiting Vice President Joe Biden met with Beijing 's leaders .
tense	19	2	BEIJING -- In a sharp rebuff , China accused Washington on Wednesday of taking Japan 's side in a tense clash over disputed islands in the East China Sea , underscoring rising regional friction as visiting Vice President Joe Biden met with Beijing 's leaders .
accused	8	4	BEIJING -- In a sharp rebuff , China accused Washington on Wednesday of taking Japan 's side in a tense clash over disputed islands in the East China Sea , underscoring rising regional friction as visiting Vice President Joe Biden met with Beijing 's leaders .
sharp	4	1	BEIJING -- In a sharp rebuff , China accused Washington on Wednesday of taking Japan 's side in a tense clash over disputed islands in the East China Sea , underscoring rising regional friction as visiting Vice President Joe Biden met with Beijing 's leaders .
taking	13	0	BEIJING -- In a sharp rebuff , China accused Washington on Wednesday of taking Japan 's side in a tense clash over disputed islands in the East China Sea , underscoring rising regional friction as visiting Vice President Joe Biden met with Beijing 's leaders .
side	16	0	BEIJING -- In a sharp rebuff , China accused Washington on Wednesday of taking Japan 's side in a tense clash over disputed islands in the East China Sea , underscoring rising regional friction as visiting Vice President Joe Biden met with Beijing 's leaders .
islands	23	0	BEIJING -- In a sharp rebuff , China accused Washington on Wednesday of taking Japan 's side in a tense clash over disputed islands in the East China Sea , underscoring rising regional friction as visiting Vice President Joe Biden met with Beijing 's leaders .
rising	31	0	BEIJING -- In a sharp rebuff , China accused Washington on Wednesday of taking Japan 's side in a tense clash over disputed islands in the East China Sea , underscoring rising regional friction as visiting Vice President Joe Biden met with Beijing 's leaders .
regional	32	0	BEIJING -- In a sharp rebuff , China accused Washington on Wednesday of taking Japan 's side in a tense clash over disputed islands in the East China Sea , underscoring rising regional friction as visiting Vice President Joe Biden met with Beijing 's leaders .
visiting	35	0	BEIJING -- In a sharp rebuff , China accused Washington on Wednesday of taking Japan 's side in a tense clash over disputed islands in the East China Sea , underscoring rising regional friction as visiting Vice President Joe Biden met with Beijing 's leaders .
Vice	36	0	BEIJING -- In a sharp rebuff , China accused Washington on Wednesday of taking Japan 's side in a tense clash over disputed islands in the East China Sea , underscoring rising regional friction as visiting Vice President Joe Biden met with Beijing 's leaders .
President	37	0	BEIJING -- In a sharp rebuff , China accused Washington on Wednesday of taking Japan 's side in a tense clash over disputed islands in the East China Sea , underscoring rising regional friction as visiting Vice President Joe Biden met with Beijing 's leaders .
met	40	0	BEIJING -- In a sharp rebuff , China accused Washington on Wednesday of taking Japan 's side in a tense clash over disputed islands in the East China Sea , underscoring rising regional friction as visiting Vice President Joe Biden met with Beijing 's leaders .
leaders	44	0	BEIJING -- In a sharp rebuff , China accused Washington on Wednesday of taking Japan 's side in a tense clash over disputed islands in the East China Sea , underscoring rising regional friction as visiting Vice President Joe Biden met with Beijing 's leaders .
somber	18	5	Emerging from a private meeting with President Xi Jinping that went considerably longer than scheduled , Biden appeared somber and subdued .
subdued	20	7	Emerging from a private meeting with President Xi Jinping that went considerably longer than scheduled , Biden appeared somber and subdued .
considerably	11	6	Emerging from a private meeting with President Xi Jinping that went considerably longer than scheduled , Biden appeared somber and subdued .
scheduled	14	1	Emerging from a private meeting with President Xi Jinping that went considerably longer than scheduled , Biden appeared somber and subdued .
private	3	0	Emerging from a private meeting with President Xi Jinping that went considerably longer than scheduled , Biden appeared somber and subdued .
meeting	4	0	Emerging from a private meeting with President Xi Jinping that went considerably longer than scheduled , Biden appeared somber and subdued .
President	6	0	Emerging from a private meeting with President Xi Jinping that went considerably longer than scheduled , Biden appeared somber and subdued .
went	10	0	Emerging from a private meeting with President Xi Jinping that went considerably longer than scheduled , Biden appeared somber and subdued .
longer	12	0	Emerging from a private meeting with President Xi Jinping that went considerably longer than scheduled , Biden appeared somber and subdued .
appeared	17	0	Emerging from a private meeting with President Xi Jinping that went considerably longer than scheduled , Biden appeared somber and subdued .
differences	20	1	In a brief appearance before reporters in which he took no questions , Biden did not go into details on differences over China 's newly declared restricted flying zone .
declared	25	2	In a brief appearance before reporters in which he took no questions , Biden did not go into details on differences over China 's newly declared restricted flying zone .
restricted	26	5	In a brief appearance before reporters in which he took no questions , Biden did not go into details on differences over China 's newly declared restricted flying zone .
brief	2	0	In a brief appearance before reporters in which he took no questions , Biden did not go into details on differences over China 's newly declared restricted flying zone .
appearance	3	0	In a brief appearance before reporters in which he took no questions , Biden did not go into details on differences over China 's newly declared restricted flying zone .
reporters	5	0	In a brief appearance before reporters in which he took no questions , Biden did not go into details on differences over China 's newly declared restricted flying zone .
took	9	0	In a brief appearance before reporters in which he took no questions , Biden did not go into details on differences over China 's newly declared restricted flying zone .
questions	11	0	In a brief appearance before reporters in which he took no questions , Biden did not go into details on differences over China 's newly declared restricted flying zone .
details	18	0	In a brief appearance before reporters in which he took no questions , Biden did not go into details on differences over China 's newly declared restricted flying zone .
newly	24	0	In a brief appearance before reporters in which he took no questions , Biden did not go into details on differences over China 's newly declared restricted flying zone .
flying	27	0	In a brief appearance before reporters in which he took no questions , Biden did not go into details on differences over China 's newly declared restricted flying zone .
zone	28	0	In a brief appearance before reporters in which he took no questions , Biden did not go into details on differences over China 's newly declared restricted flying zone .
cooperation	12	3	Instead , he spoke of a `` new model of major country cooperation , '' saying U.S .- China relations must hinge on trust and a positive notion of each other 's motives .
notion	27	3	Instead , he spoke of a `` new model of major country cooperation , '' saying U.S .- China relations must hinge on trust and a positive notion of each other 's motives .
hinge	21	4	Instead , he spoke of a `` new model of major country cooperation , '' saying U.S .- China relations must hinge on trust and a positive notion of each other 's motives .
motives	32	3	Instead , he spoke of a `` new model of major country cooperation , '' saying U.S .- China relations must hinge on trust and a positive notion of each other 's motives .
Instead	0	0	Instead , he spoke of a `` new model of major country cooperation , '' saying U.S .- China relations must hinge on trust and a positive notion of each other 's motives .
spoke	3	0	Instead , he spoke of a `` new model of major country cooperation , '' saying U.S .- China relations must hinge on trust and a positive notion of each other 's motives .
new	7	0	Instead , he spoke of a `` new model of major country cooperation , '' saying U.S .- China relations must hinge on trust and a positive notion of each other 's motives .
model	8	0	Instead , he spoke of a `` new model of major country cooperation , '' saying U.S .- China relations must hinge on trust and a positive notion of each other 's motives .
major	10	0	Instead , he spoke of a `` new model of major country cooperation , '' saying U.S .- China relations must hinge on trust and a positive notion of each other 's motives .
country	11	0	Instead , he spoke of a `` new model of major country cooperation , '' saying U.S .- China relations must hinge on trust and a positive notion of each other 's motives .
saying	15	0	Instead , he spoke of a `` new model of major country cooperation , '' saying U.S .- China relations must hinge on trust and a positive notion of each other 's motives .
relations	19	0	Instead , he spoke of a `` new model of major country cooperation , '' saying U.S .- China relations must hinge on trust and a positive notion of each other 's motives .
trust	23	0	Instead , he spoke of a `` new model of major country cooperation , '' saying U.S .- China relations must hinge on trust and a positive notion of each other 's motives .
positive	26	0	Instead , he spoke of a `` new model of major country cooperation , '' saying U.S .- China relations must hinge on trust and a positive notion of each other 's motives .
kickoff	2	3	The awkward kickoff for a series of official meetings in Beijing followed Biden 's speech earlier Wednesday urging young Chinese citizens to challenge orthodoxy and the status quo .
orthodoxy	23	8	The awkward kickoff for a series of official meetings in Beijing followed Biden 's speech earlier Wednesday urging young Chinese citizens to challenge orthodoxy and the status quo .
status	26	6	The awkward kickoff for a series of official meetings in Beijing followed Biden 's speech earlier Wednesday urging young Chinese citizens to challenge orthodoxy and the status quo .
quo	27	6	The awkward kickoff for a series of official meetings in Beijing followed Biden 's speech earlier Wednesday urging young Chinese citizens to challenge orthodoxy and the status quo .
urging	17	1	The awkward kickoff for a series of official meetings in Beijing followed Biden 's speech earlier Wednesday urging young Chinese citizens to challenge orthodoxy and the status quo .
awkward	1	2	The awkward kickoff for a series of official meetings in Beijing followed Biden 's speech earlier Wednesday urging young Chinese citizens to challenge orthodoxy and the status quo .
series	5	0	The awkward kickoff for a series of official meetings in Beijing followed Biden 's speech earlier Wednesday urging young Chinese citizens to challenge orthodoxy and the status quo .
official	7	0	The awkward kickoff for a series of official meetings in Beijing followed Biden 's speech earlier Wednesday urging young Chinese citizens to challenge orthodoxy and the status quo .
meetings	8	0	The awkward kickoff for a series of official meetings in Beijing followed Biden 's speech earlier Wednesday urging young Chinese citizens to challenge orthodoxy and the status quo .
followed	11	0	The awkward kickoff for a series of official meetings in Beijing followed Biden 's speech earlier Wednesday urging young Chinese citizens to challenge orthodoxy and the status quo .
speech	14	0	The awkward kickoff for a series of official meetings in Beijing followed Biden 's speech earlier Wednesday urging young Chinese citizens to challenge orthodoxy and the status quo .
young	18	0	The awkward kickoff for a series of official meetings in Beijing followed Biden 's speech earlier Wednesday urging young Chinese citizens to challenge orthodoxy and the status quo .
citizens	20	0	The awkward kickoff for a series of official meetings in Beijing followed Biden 's speech earlier Wednesday urging young Chinese citizens to challenge orthodoxy and the status quo .
